cod_municipio,nombre_municipio,nombre_departamento,cluster,cluster_nombre,total_atenciones,n_registros,pct_no_def,log_total_atenciones,ratio_consultas_proced,pct_CONSULTAS,pct_HOSPITALIZACIONES,pct_PROCEDIMIENTOS DE SALUD,pct_URGENCIAS
68397,LA PAZ,Santander,2,Perfil quirúrgico medio,102679.0,6583.0,25.06,5.01148163038705,0.954563492063492,48.11,0.68,50.39,0.82
68406,LEBRIJA,Santander,3,Grandes centros urbanos,1672004.0,38590.0,15.8,6.223237312083769,0.7598418119719577,42.27,0.61,55.62,1.5
68418,LOS SANTOS,Santander,4,Perfil quirúrgico con buen registro,341407.0,15497.0,20.75,5.533272421378033,0.4869022235759974,31.97,0.61,65.65,1.76
68425,MACARAVITA,Santander,1,Alta carga NO DEFINIDO,98372.0,5350.0,33.75,4.992871501114901,0.3730092204526404,26.7,0.54,71.57,1.18
68432,MALAGA,Santander,3,Grandes centros urbanos,1110124.0,26018.0,31.94,6.045371491856929,0.6989708404802745,40.75,0.56,58.29,0.4
68444,MATANZA,Santander,4,Perfil quirúrgico con buen registro,137276.0,6665.0,18.21,5.137594616052149,0.4767389678384442,31.87,0.49,66.84,0.8
68464,MOGOTES,Santander,1,Alta carga NO DEFINIDO,278696.0,10842.0,42.08,5.44513073552208,0.4883191747572815,32.19,0.63,65.91,1.27
68468,MOLAGAVITA,Santander,4,Perfil quirúrgico con buen registro,126741.0,5181.0,18.51,5.102917129432495,0.4992426537412904,32.96,0.57,66.01,0.46
68498,OCAMONTE,Santander,4,Perfil quirúrgico con buen registro,198390.0,8808.0,23.07,5.297519777423644,0.5656180489354942,35.6,0.39,62.93,1.08
68500,OIBA,Santander,4,Perfil quirúrgico con buen registro,353079.0,14211.0,21.45,5.547871887896334,0.5406036092097075,34.75,0.63,64.27,0.35
68502,ONZAGA,Santander,2,Perfil quirúrgico medio,105798.0,6294.0,40.58,5.024477457896014,0.6518307020490427,38.81,0.88,59.53,0.79
68522,PALMAR,Santander,2,Perfil quirúrgico medio,29934.0,3433.0,19.13,4.476164754322825,0.6650855497204811,39.26,0.7,59.02,1.02
68524,PALMAS DEL SOCORRO,Santander,2,Perfil quirúrgico medio,75177.0,5235.0,25.53,4.876084990845182,0.6706061117676854,39.72,0.71,59.22,0.35
68533,PARAMO,Santander,2,Perfil quirúrgico medio,131157.0,9026.0,28.94,5.117791474341135,0.7662456525718471,41.86,0.56,54.62,2.97
68549,PINCHOTE,Santander,2,Perfil quirúrgico medio,142651.0,11268.0,23.92,5.154274820458287,0.7404071338497569,41.1,0.78,55.5,2.62
68572,PUENTE NACIONAL,Santander,2,Perfil quirúrgico medio,336999.0,15848.0,25.53,5.527628612161765,0.7626091605774372,42.79,0.65,56.1,0.46
68573,PUERTO PARRA,Santander,4,Perfil quirúrgico con buen registro,179787.0,10990.0,27.8,5.254758285659843,0.5060985023930832,32.78,0.97,64.76,1.49
68575,PUERTO WILCHES,Santander,2,Perfil quirúrgico medio,897654.0,27451.0,15.11,5.953108970468027,0.8489964359407242,45.26,0.85,53.3,0.59
68211,CONTRATACION,Santander,2,Perfil quirúrgico medio,148330.0,9672.0,22.66,5.171228996725051,0.6277815239379636,37.24,0.95,59.31,2.5
68217,COROMORO,Santander,2,Perfil quirúrgico medio,126720.0,6205.0,3.04,5.1028451642454185,0.760392506690455,42.62,0.73,56.04,0.61
68229,CURITI,Santander,4,Perfil quirúrgico con buen registro,377223.0,16400.0,19.29,5.5765981646288125,0.530429312785029,33.73,0.67,63.58,2.02
68235,EL CARMEN DE CHUCURI,Santander,1,Alta carga NO DEFINIDO,556490.0,19292.0,36.13,5.745457364566793,0.4335387323943661,29.55,0.58,68.15,1.72
68245,EL GUACAMAYO,Santander,2,Perfil quirúrgico medio,56473.0,3844.0,4.21,4.751840859258727,0.9388954171562868,47.94,0.53,51.05,0.49
68255,EL PLAYON,Santander,4,Perfil quirúrgico con buen registro,490513.0,17805.0,13.27,5.690650521916679,0.5245927075252134,33.81,0.7,64.44,1.05
68264,ENCINO,Santander,2,Perfil quirúrgico medio,70026.0,5452.0,14.0,4.845259319443209,0.7880952380952381,43.03,0.55,54.59,1.83
68266,ENCISO,Santander,2,Perfil quirúrgico medio,106183.0,7163.0,7.75,5.026054991348332,0.9434894289666074,47.75,0.71,50.6,0.94
68271,FLORIAN,Santander,4,Perfil quirúrgico con buen registro,126200.0,7154.0,16.51,5.101059354908116,0.6006803823100599,37.08,0.57,61.72,0.63
68296,GALAN,Santander,4,Perfil quirúrgico con buen registro,103109.0,7255.0,10.96,5.013296574883385,0.6166802943581358,37.71,0.51,61.14,0.63
68298,GAMBITA,Santander,1,Alta carga NO DEFINIDO,96701.0,6389.0,38.75,4.985430965212643,0.5534898377186073,35.13,0.69,63.46,0.72
68318,GUACA,Santander,4,Perfil quirúrgico con buen registro,266650.0,8754.0,29.77,5.425941588018896,0.4742160796552236,31.91,0.39,67.28,0.42
68320,GUADALUPE,Santander,2,Perfil quirúrgico medio,162772.0,8201.0,29.44,5.211579699746459,0.7966751918158569,43.61,0.78,54.73,0.88
68322,GUAPOTA,Santander,4,Perfil quirúrgico con buen registro,57805.0,4974.0,6.76,4.761965405522486,0.62014987510408,37.24,0.59,60.04,2.13
68324,GUAVATA,Santander,2,Perfil quirúrgico medio,84652.0,5004.0,41.63,4.9276372232683805,0.6260898174041784,38.06,0.56,60.78,0.6
68327,GUEPSA,Santander,4,Perfil quirúrgico con buen registro,124022.0,7453.0,29.8,5.093498730574553,0.5739967897271268,35.76,0.65,62.29,1.3
68344,HATO,Santander,2,Perfil quirúrgico medio,56496.0,4475.0,22.18,4.752017700219022,0.6928986002048482,40.59,0.52,58.57,0.33
68368,JESUS MARIA,Santander,4,Perfil quirúrgico con buen registro,55301.0,4538.0,7.08,4.742732984660128,0.4638518518518518,31.31,0.75,67.49,0.44
68307,GIRON,Santander,3,Grandes centros urbanos,5227490.0,65896.0,16.92,6.71829321070081,0.969420818144998,47.87,0.62,49.37,2.14
68276,FLORIDABLANCA,Santander,3,Grandes centros urbanos,17261024.0,102248.0,42.04,7.237066556405721,0.5573536411232747,35.13,0.52,63.02,1.33
68101,BOLIVAR,Santander,4,Perfil quirúrgico con buen registro,308594.0,14667.0,21.2,5.489387477811953,0.4141559752054202,28.73,0.56,69.36,1.35
68250,EL PEÑON,Santander,4,Perfil quirúrgico con buen registro,89513.0,4283.0,16.11,4.951886112615043,0.5149333741767498,33.62,0.64,65.28,0.47
